Price,Resid_area,Air_qual,Num_rooms,Age,Teachers,Poor_prop,N_hos_beds,N_hot_rooms,Rainfall,Parks,Airport,Sold
17.8,49.58,0.871,5.186,93.8,25.3,28.32,9.856,14.1424,43,0.08378952,No,0
15.4,49.58,0.871,5.597,94.9,25.3,21.45,10.108,15.1232,48,0.075894744,No,1
21.5,49.58,0.871,6.122,97.3,25.3,14.1,5.53,12.172,34,0.083032787,No,0
19.6,49.58,0.871,5.404,100,25.3,13.28,6.492,11.1568,42,0.075318927,No,0
15.3,49.58,0.871,5.012,88,25.3,12.12,5.406,10.1224,46,0.085078322,Yes,0
19.4,49.58,0.871,5.709,98.5,25.3,15.79,6.088,12.1552,58,0.083903874,No,1
17,49.58,0.871,6.129,96,25.3,15.12,7.44,15.136,48,0.080515947,No,1
15.6,49.58,0.871,6.152,82.6,25.3,15.02,9.912,11.1248,37,0.086711473,No,1
13.1,49.58,0.871,5.272,94,25.3,16.14,6.362,10.1048,60,0.074884947,No,0
41.3,49.58,0.605,6.943,97.4,25.3,4.59,8.226,13.3304,57,0.05481416,Yes,0
24.3,49.58,0.605,6.066,100,25.3,6.43,8.886,13.1944,46,0.055598528,No,1
23.3,49.58,0.871,6.51,100,25.3,7.39,7.166,12.1864,36,0.076488584,Yes,1
27,49.58,0.605,6.25,92.6,25.3,5.5,8.44,12.216,23,0.051890692,Yes,0
50,49.58,0.605,7.489,90.8,25.3,1.73,10.5,11.4,35,0.053896795,Yes,0
50,49.58,0.605,7.802,98.2,25.3,1.92,8.4,12.4,22,0.055681854,Yes,0
50,49.58,0.605,8.375,93.9,25.3,3.32,8,12.4,57,0.060273298,Yes,0
22.7,49.58,0.605,5.854,91.8,25.3,11.64,8.354,15.1816,56,0.065833104,Yes,1
25,49.58,0.605,6.101,93,25.3,9.81,10,12.2,22,0.053283066,Yes,1
50,49.58,0.605,7.929,96.2,25.3,3.7,8.3,15.4,37,0.052105035,Yes,0
23.8,49.58,0.605,5.877,79.2,25.3,12.14,10.076,10.1904,22,0.054831218,Yes,1
23.8,49.58,0.605,6.319,96.1,25.3,11.1,6.676,11.1904,23,0.066262309,No,1
22.3,49.58,0.605,6.402,95.2,25.3,11.32,5.546,15.1784,22,0.053555634,No,1
17.4,49.58,0.605,5.875,94.6,25.3,14.43,7.948,11.1392,28,0.060587462,No,1
19.1,49.58,0.605,5.88,97.3,25.3,12.03,9.782,12.1528,54,0.057446331,No,1
23.1,34.05,0.51,5.572,88.5,23.4,14.69,9.362,12.1848,38,0.052949504,No,1
23.6,34.05,0.51,6.416,84.1,23.4,9.04,9.872,10.1888,59,0.053992976,Yes,1
22.6,34.05,0.51,5.859,68.7,23.4,9.64,9.752,15.1808,35,0.052971979,Yes,1
29.4,34.05,0.51,6.546,33.1,23.4,5.33,6.188,12.2352,48,0.050839826,Yes,0
23.2,34.05,0.51,6.02,47.2,23.4,10.11,8.564,15.1856,49,0.05195249,Yes,1
24.6,34.05,0.51,6.315,73.4,23.4,6.29,7.092,14.1968,31,0.047376831,Yes,1
29.9,34.05,0.51,6.86,74.4,23.4,6.92,5.898,11.2392,28,0.054717152,No,0
37.2,32.46,0.488,6.98,58.4,22.2,5.04,9.744,11.2976,50,0.045500586,No,0
39.8,32.46,0.488,7.765,83.3,22.2,7.56,8.496,14.3184,60,0.046516009,Yes,0
36.2,32.46,0.488,6.144,62.2,22.2,9.45,6.624,15.2896,59,0.056018002,Yes,0
37.9,32.46,0.488,7.155,92.2,22.2,4.82,9.258,15.3032,56,0.042959915,Yes,0
32.5,32.46,0.488,6.563,95.6,22.2,5.68,7.35,14.26,60,0.045047217,Yes,0
26.4,32.46,0.488,5.604,89.8,22.2,13.98,9.928,10.2112,27,0.046676165,Yes,1
29.6,32.46,0.488,6.153,68.8,22.2,13.15,8.192,11.2368,45,0.046596095,Yes,1
50,32.46,0.488,7.831,53.6,22.2,4.45,6,13.4,35,0.045703391,Yes,0
32,33.44,0.437,6.782,41.1,24.8,6.68,7.84,13.256,23,0.042225334,Yes,0
29.8,33.44,0.437,6.556,29.1,24.8,4.56,7.596,10.2384,40,0.045949197,Yes,1
34.9,33.44,0.437,7.185,38.9,24.8,5.39,9.298,14.2792,20,0.04637912,No,0
33,33.44,0.437,6.951,21.5,24.8,5.1,6.16,11.264,55,0.050923075,No,0
30.5,33.44,0.437,6.739,30.8,24.8,4.69,8.81,11.244,40,0.038316195,No,1
36.4,33.44,0.437,7.178,26.3,24.8,2.87,10.528,11.2912,40,0.044716451,Yes,1
31.1,32.93,0.401,6.8,9.9,24.4,5.03,6.822,13.2488,24,0.041103452,No,1
29.1,32.93,0.401,6.604,18.8,24.4,4.38,9.282,14.2328,59,0.04883319,No,1
50,30.46,0.422,7.875,32,25.6,2.97,8.2,14.4,26,0.042971351,Yes,0
33.3,31.52,0.404,7.287,34.1,27.4,4.08,7.266,15.2664,20,0.036635762,Yes,1
30.3,31.52,0.404,7.107,36.6,27.4,8.61,6.906,14.2424,24,0.040063074,Yes,1
34.6,31.52,0.404,7.274,38.3,27.4,6.62,10.192,14.2768,43,0.041173937,No,1
34.9,31.47,0.403,6.975,15.3,23,4.56,7.998,13.2792,24,0.041283982,Yes,1
32.9,31.47,0.403,7.135,13.9,23,4.45,5.958,10.2632,22,0.046477735,No,0
24.1,32.03,0.415,6.162,38.4,25.3,7.43,7.782,12.1928,32,0.041438068,Yes,0
42.3,32.03,0.415,7.61,15.7,25.3,3.11,10.546,14.3384,30,0.045898658,No,0
48.5,32.68,0.4161,7.853,33.2,25.3,3.81,8.77,11.388,22,0.040932911,No,0
50,32.68,0.4161,8.034,31.9,25.3,2.88,8.9,15.4,51,0.044178168,Yes,0
22.6,40.59,0.489,5.891,22.3,21.4,10.87,7.952,15.1808,26,0.056222,Yes,0
24.4,40.59,0.489,6.326,52.5,21.4,10.97,6.688,11.1952,52,0.051027894,Yes,1
22.5,40.59,0.489,5.783,72.7,21.4,18.06,7.95,10.18,38,0.05189131,Yes,0
24.4,40.59,0.489,6.064,59.1,21.4,14.66,6.888,14.1952,31,0.044689385,Yes,0
20,40.59,0.489,5.344,100,21.4,23.09,7.9,13.16,60,0.056197535,No,0
21.7,40.59,0.489,5.96,92.1,21.4,17.27,8.034,12.1736,36,0.044598056,Yes,0
19.3,40.59,0.489,5.404,88.6,21.4,23.98,5.986,14.1544,39,0.048873203,No,0
22.4,40.59,0.489,5.807,53.8,21.4,16.03,6.848,13.1792,20,0.052656085,Yes,0
28.1,40.59,0.489,6.375,32.3,21.4,9.38,7.562,10.2248,3,0.044019172,Yes,1
23.7,40.59,0.489,5.412,9.8,21.4,29.55,5.674,11.1896,21,0.056117611,Yes,0
25,40.59,0.489,6.182,42.4,21.4,9.47,0,12.2,30,0.04792534,Yes,0
23.3,43.89,0.55,5.888,56,23.6,13.51,5.466,12.1864,22,0.061620518,Yes,1
28.7,43.89,0.55,6.642,85.1,23.6,9.69,9.274,14.2296,23,0.048611305,No,1
21.5,43.89,0.55,5.951,93.8,23.6,17.92,8.73,14.172,49,0.048031734,Yes,0
23,43.89,0.55,6.373,92.4,23.6,10.5,6.16,13.184,21,0.056016354,Yes,1
26.7,36.2,0.507,6.951,88.5,22.6,9.71,8.734,11.2136,23,0.053540387,No,0
21.7,36.2,0.507,6.164,91.3,22.6,21.46,5.734,14.1736,37,0.057325565,Yes,0
27.5,36.2,0.507,6.879,77.7,22.6,9.93,9.45,12.22,50,0.046840009,Yes,0
30.1,36.2,0.507,6.618,80.8,22.6,7.6,9.702,12.2408,39,0.0490122,Yes,0
44.8,36.2,0.504,8.266,78.3,22.6,4.14,6.796,12.3584,47,0.056999654,Yes,0
50,36.2,0.504,8.725,83,22.6,4.63,7.5,13.4,20,0.056994369,Yes,0
37.6,36.2,0.504,8.04,86.5,22.6,3.13,5.952,10.3008,54,0.053115719,Yes,1
31.6,36.2,0.504,7.163,79.9,22.6,6.36,6.332,10.2528,34,0.054049996,No,0
46.7,36.2,0.504,7.686,17,22.6,3.92,10.134,14.3736,43,0.054927989,Yes,0
31.5,36.2,0.504,6.552,21.4,22.6,3.76,7.33,15.252,47,0.044352419,Yes,0
24.3,36.2,0.504,5.981,68.1,22.6,11.65,8.286,10.1944,59,0.046602048,No,1
31.7,36.2,0.504,7.412,76.9,22.6,5.25,6.734,10.2536,26,0.05392758,Yes,0
41.7,36.2,0.507,8.337,73.3,22.6,2.47,6.634,11.3336,28,0.057302659,Yes,1
48.3,36.2,0.507,8.247,70.4,22.6,3.95,9.066,11.3864,23,0.050358562,Yes,0
29,36.2,0.507,6.726,66.5,22.6,8.05,9.88,13.232,32,0.044080596,Yes,1
24,36.2,0.507,6.086,61.5,22.6,10.88,9.18,14.192,57,0.052493323,Yes,0
25.1,36.2,0.507,6.631,76.5,22.6,9.54,9.402,15.2008,36,0.046360973,Yes,0
31.5,36.2,0.507,7.358,71.6,22.6,4.73,10.53,12.252,34,0.056108329,Yes,1
23.7,34.93,0.428,6.481,18.5,23.4,6.36,7.374,12.1896,48,0.049067932,Yes,0
23.3,34.93,0.428,6.606,42.2,23.4,7.37,5.566,15.1864,51,0.041232141,No,0
27,34.93,0.428,6.897,54.3,23.4,11.38,10.24,11.216,24,0.038641351,Yes,0
20.1,34.93,0.428,6.095,65.1,23.4,12.4,8.302,13.1608,41,0.039667516,No,1
22.2,34.93,0.428,6.358,52.9,23.4,11.22,6.044,10.1776,42,0.041118808,Yes,0
23.7,34.93,0.428,6.393,7.8,23.4,5.19,7.374,15.1896,26,0.048029264,Yes,1
17.6,35.86,0.431,5.593,76.5,20.9,12.5,6.252,12.1408,42,0.041141822,No,0
18.5,35.86,0.431,5.605,70.2,20.9,18.46,9.27,10.148,59,0.043718216,Yes,1
24.3,35.86,0.431,6.108,34.9,20.9,9.16,7.086,11.1944,25,0.048857201,Yes,0
20.5,35.86,0.431,6.226,79.2,20.9,10.15,9.81,12.164,31,0.046513913,No,0
24.5,35.86,0.431,6.433,49.1,20.9,9.52,8.39,15.196,43,0.049388751,Yes,0
26.2,35.86,0.431,6.718,17.5,20.9,6.56,9.324,11.2096,39,0.044233351,Yes,1
24.4,35.86,0.431,6.487,13,20.9,5.9,6.188,14.1952,38,0.038843516,Yes,1
24.8,35.86,0.431,6.438,8.9,20.9,3.59,10.296,12.1984,50,0.046856215,No,1
29.6,35.86,0.431,6.957,6.8,20.9,3.53,8.992,12.2368,57,0.0395258,No,0
42.8,35.86,0.431,8.259,8.4,20.9,3.54,10.856,13.3424,53,0.050873374,No,0
21.9,33.64,0.392,6.108,32,23.6,6.57,6.538,12.1752,56,0.036968617,No,0
20.9,33.64,0.392,5.876,19.1,23.6,9.25,7.818,15.1672,31,0.043736448,No,0
44,33.75,0.394,7.454,34.2,24.1,3.11,6.68,13.352,38,0.042191684,No,0
50,33.97,0.647,8.704,86.9,27,5.12,8.6,11.4,54,0.055193191,Yes,0
36,33.97,0.647,7.333,100,27,7.79,8.02,15.288,58,0.060092539,Yes,1
30.1,33.97,0.647,6.842,100,27,6.9,7.302,11.2408,40,0.0598956,Yes,1
33.8,33.97,0.647,7.203,81.8,27,9.59,0,11.2704,21,0.068040719,Yes,1
43.1,33.97,0.647,7.52,89.4,27,7.26,6.662,11.3448,24,0.06503824,Yes,0
48.8,33.97,0.647,8.398,91.5,27,5.91,10.076,15.3904,24,0.055130645,Yes,0
31,33.97,0.647,7.327,94.5,27,11.25,5.72,11.248,60,0.055456883,Yes,1
36.5,33.97,0.647,7.206,91.6,27,8.1,8.53,14.292,36,0.058798548,Yes,0
22.8,33.97,0.647,5.56,62.8,27,10.45,7.456,13.1824,59,0.058891324,No,0
30.7,33.97,0.647,7.014,84.6,27,14.79,6.114,10.2456,41,0.05775938,No,0
50,33.97,0.575,8.297,67,27,7.44,8,15.4,42,0.063234775,Yes,0
43.5,33.97,0.575,7.47,52.6,27,3.16,9.07,15.348,43,0.050390185,No,1
20.7,36.96,0.464,5.92,61.5,21.4,13.65,10.414,14.1656,29,0.052332701,No,1
21.1,36.96,0.464,5.856,42.1,21.4,13,6.222,15.1688,27,0.046563106,Yes,0
25.2,36.96,0.464,6.24,16.3,21.4,6.59,6.604,10.2016,25,0.043394822,No,1
24.4,36.96,0.464,6.538,58.7,21.4,7.73,8.488,13.1952,40,0.043963559,Yes,1
35.2,36.96,0.464,7.691,51.8,21.4,6.58,6.004,10.2816,39,0.042436929,Yes,0
32.4,36.41,0.447,6.758,32.9,22.4,3.53,10.648,12.2592,30,0.042514896,No,1
32,36.41,0.447,6.854,42.8,22.4,2.98,8.84,12.256,23,0.038411883,Yes,0
33.2,36.41,0.447,7.267,49,22.4,6.05,8.564,11.2656,35,0.042341511,No,0
33.1,36.41,0.447,6.826,27.6,22.4,4.16,6.262,11.2648,21,0.041667833,No,0
29.1,36.41,0.447,6.482,32.1,22.4,7.19,6.282,10.2328,38,0.047733893,Yes,0
35.1,33.33,0.4429,6.812,32.2,25.1,4.85,9.602,12.2808,26,0.051259589,No,1
45.4,33.33,0.4429,7.82,64.5,25.1,3.76,7.108,10.3632,50,0.041950915,No,0
35.4,33.33,0.4429,6.968,37.2,25.1,4.59,8.508,14.2832,48,0.042131214,Yes,0
46,33.33,0.4429,7.645,49.7,25.1,3.01,8.72,12.368,25,0.05114129,Yes,0
50,31.21,0.401,7.923,24.8,26.4,3.16,8.7,13.4,20,0.048894815,Yes,0
32.2,32.97,0.4,7.088,20.8,24.7,7.85,7.844,12.2576,30,0.042339768,Yes,0
22,32.25,0.389,6.453,31.9,24.7,8.23,10.44,14.176,55,0.034687927,Yes,1
20.1,31.76,0.385,6.23,31.5,21.8,12.93,8.302,10.1608,39,0.033291762,Yes,0
23.2,35.32,0.405,6.209,31.3,23.4,7.14,9.964,14.1856,60,0.043226217,Yes,1
22.3,35.32,0.405,6.315,45.6,23.4,7.6,5.846,12.1784,22,0.034847434,No,0
24.8,35.32,0.405,6.565,22.9,23.4,9.51,9.096,14.1984,60,0.041045876,No,1
28.5,34.95,0.411,6.861,27.9,20.8,3.33,8.07,11.228,53,0.039614292,Yes,1
37.3,34.95,0.411,7.148,27.7,20.8,3.56,8.146,10.2984,37,0.047461264,Yes,0
27.9,34.95,0.411,6.63,23.4,20.8,4.7,8.458,12.2232,37,0.038906315,No,1
23.9,43.92,0.437,6.127,18.4,24,8.58,7.278,14.1912,46,0.04846407,Yes,1
21.7,43.92,0.437,6.009,42.3,24,10.4,8.834,11.1736,23,0.03857924,No,1
28.6,43.92,0.437,6.678,31.1,24,6.27,6.972,10.2288,44,0.042031036,Yes,0
27.1,43.92,0.437,6.549,51,24,7.39,10.442,10.2168,26,0.045355724,No,1
20.3,43.92,0.437,5.79,58,24,15.84,7.606,11.1624,42,0.052079028,Yes,0
22.5,32.24,0.4,6.345,20.1,25.2,4.97,9.45,13.18,48,0.036877731,No,1
29,32.24,0.4,7.041,10,25.2,4.74,7.98,11.232,36,0.04137643,Yes,1
